Year,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,TotalSnow,Max24hrPrecip,Max24hrSnow
2015,36,83,59,56,50.9,68.8,59.8,1.25,0,0.69,0
2014,46,87,58,60,51,71.6,61.3,0,0,0,0
2013,38,80,60,54,47.3,65.7,56.5,1.3,0,0.76,0
2012,44,85,59,56,49.2,69.5,59.4,1.19,0,0.62,0
2011,44,81,56,52,49.6,68.7,59.2,0.81,0,0.59,0
2010,43,80,57,54,50,66.8,58.4,4.3,0,1.13,0
2009,42,84,61,53,50.6,69.5,60.1,0.51,0,0.25,0
2008,43,75,58,55,48.8,63,55.9,4.67,0,0.95,0
2007,35,84,56,54,45.2,63.7,54.5,0.39,0,0.19,0
2006,43,86,58,58,49.1,67.2,58.1,1.42,0,0.98,0
2005,43,85,59,54,50.2,64.6,57.4,6.87,0,1.59,0
2004,42,76,54,55,48.9,64.8,56.8,0.49,0,0.47,0
2003,45,91,61,59,52.5,71.7,62.1,0,0,0,0
2002,36,76,55,53,47.1,63.7,55.4,0.73,,0.49,
2001,41,82,54,53,46.3,63.5,54.9,4.68,,2.1,
2000,41,77,60,58,51,65.8,58.4,0.85,,0.61,
1999,41,80,57,56,48.3,66,57.1,1.19,,0.4,
1998,40,77,56,57,49.5,62.9,56.2,3.71,,1.7,
1997,45,77,60,54,50.6,63.9,57.3,5.12,0,1.2,0
1996,41,86,54,58,49.5,66.8,58.2,1.94,0,1.25,0
1995,44,78,57,56,50.9,62.6,56.8,12.71,0,3.5,0
1994,42,82,57,60,48.5,69.8,59.1,0.33,0,0.33,0
1993,41,81,56,53,49.3,63.1,56.2,10.63,0,3.23,0
1992,42,83,56,53,47.9,68.8,58.4,1.61,0,0.84,0
1991,44,79,54,56,48.9,65.5,57.2,1.38,0,0.66,0
1990,42,81,57,58,47.3,66.8,57.1,1.18,0,0.37,0
1989,36,81,57,55,45,65.8,55.4,0.59,0,0.52,0
1988,40,83,56,58,47.4,66,56.7,1.61,0,1.4,0
1987,33,80,56,54,45.7,64.2,55,1.27,0,0.82,0
1986,48,88,57,62,53.1,71.4,62.2,2.31,0,0.84,0
1985,41,80,55,54,47.4,63.5,55.5,0.7,0,0.5,0
1984,41,79,57,55,48.6,67.8,58.2,0.39,0,0.39,0
1983,39,87,59,58,49.3,68.4,58.8,5.25,0,1.94,0
1982,35,78,55,55,46.6,62.5,54.6,2.78,0,1.18,0
1981,44,81,60,60,51.5,67.5,59.5,1.51,0,0.77,0
1980,43,79,63,60,52.9,66.4,59.6,6.97,0,1.82,0
1979,34,70,56,50,47.4,61.7,54.5,5.26,0,1.32,0
1978,39,76,57,56,51.8,65.3,58.5,7.48,0,1.51,0
1977,41,82,57,52,49.4,65.7,57.5,3.21,0,1.33,0
1976,36,88,58,61,47.4,72.6,60,0,0,0,0
1975,37,87,54,49,46.4,67.3,56.8,0.01,0,0.01,0
1974,39,79,56,52,47.5,61.1,54.3,5.68,0,1.7,0
1973,37,77,56,57,46.5,62.7,54.6,3.16,0,1.7,0
1972,37,80,50,55,44.8,63,53.9,0,0,0,0
1971,35,86,58,52,47.4,63.6,55.5,0.66,0,0.39,0
1970,37,73,57,57,50.2,63.6,56.9,1.44,0,0.67,0
1969,39,82,59,53,51.2,62.6,56.9,9.6,0,2.63,0
1968,41,82,54,55,48.4,66.1,57.3,0.84,0,0.24,0
1967,41,79,57,58,48.2,64.9,56.5,2.71,0,1.46,0
1966,37,81,55,54,44,63.1,53.6,0.84,0,0.73,0
1965,37,83,58,55,46.1,65.2,55.6,0.43,0,0.3,0
1964,40,77,52,57,45.4,65.1,55.2,1.49,0,0.59,0
1963,30,81,58,57,46.7,63.7,55.2,0.62,0,0.56,0
1962,38,86,53,51,45.6,66.5,56,2.68,0,1.14,0
1961,40,83,57,58,47.8,70,58.9,1.27,0,1.22,0
1960,36,79,54,50,44.9,61.7,53.3,2.83,0,0.9,0
1959,47,79,56,60,50.8,69,59.9,1.11,0,0.76,0
1958,44,87,56,60,49,69.6,59.3,1.49,0,0.84,0
1957,36,73,56,46,46.6,61.1,53.7,3.88,0,0.97,0
1956,41,75,53,55,47,62.2,54.6,8.07,0,4.56,0
1955,37,80,49,50,42.8,61.1,51.9,4.12,0,0.98,0
1954,40,86,54,52,45,62,53.5,4.78,0,1.37,0
1953,42,86,57,55,48.8,68.8,58.8,1.13,0,0.5,0
1952,34,77,51,55,43.5,61,52.3,7.23,0,1.61,0
1951,38,86,54,55,44.9,63.5,54.2,2.82,0,0.99,0
1950,33,64,48,48,40,55.8,47.8,2.53,0,1.07,0
1949,27,69,47,48,38.3,55.7,47,2.3,0,0.71,0
1948,32,83,51,56,44,65.1,54.4,0.15,0,0.15,0
1947,31,74,50,55,39.5,62.9,51.1,0.09,0,0.09,0
1946,34,76,51,56,43.1,65.6,54.3,0.25,0,0.08,0
1945,36,74,52,58,43.6,63.4,53.5,0.15,0,0.15,0
